task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
qmsum,0.8,ours,16,12.598425196850393,0.041237113402061855,0,5,0.46509612063377775
qmsum,0.8,ours,17,17.11229946524064,0.023255813953488372,0,8,0.47128844120343644
qmsum,0.8,ours,18,4.901960784313726,0.19653179190751446,0,22,0.4685831730472115
qmsum,0.8,ours,19,8.91089108910891,0.0875,0,36,0.5012158866702254
qmsum,0.8,ours,20,13.333333333333334,0.0,0,,0.4769067240357051
qmsum,0.8,ours,21,9.852216748768473,0.6568047337278107,1,18,0.45410389052260763
qmsum,0.8,ours,22,2.45398773006135,0.007246376811594203,0,100,0.499616974477968
qmsum,0.8,ours,23,9.523809523809526,0.024096385542168676,0,10,0.4730736290346424
qmsum,0.8,ours,24,16.75392670157068,0.034482758620689655,0,4,0.4709899858488434
qmsum,0.8,ours,25,3.592814371257485,0.3236994219653179,1,17,0.46754525501440974
qmsum,0.8,ours,26,16.766467065868266,0.0,0,,0.4769067240357051
qmsum,0.8,ours,27,9.70873786407767,0.5084745762711864,1,27,0.5140227303138855
qmsum,0.8,ours,28,4.8543689320388355,0.06470588235294118,0,26,0.468288139401715
qmsum,0.8,ours,29,23.463687150837988,0.041237113402061855,0,5,0.46509612063377775
qmsum,0.8,ours,30,13.157894736842108,0.03636363636363636,0,55,0.46376116246746124
qmsum,0.8,ours,31,7.317073170731707,0.1901840490797546,0,36,0.4554234496884627
qmsum,0.8,ours,32,9.142857142857142,0.12643678160919541,0,18,0.47221438555851347
qmsum,0.8,ours,33,14.07035175879397,0.045454545454545456,0,18,0.4913451449633854
qmsum,0.8,ours,34,4.026845637583893,0.015384615384615385,0,19,0.492562775958323
qmsum,0.8,ours,35,12.727272727272728,0.0,0,,0.4769067240357051
qmsum,0.8,ours,36,16.793893129770993,0.0,0,,0.4769067240357051
