task,budget,variant,sample_idx,score,word_rep,char_rep,collapsed
hotpotqa,0.8,baseline_nosink,11,0.0,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,12,14.814814814814813,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,13,37.03703703703704,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,14,25.0,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,15,7.6923076923076925,0.0,0.014184397163120567,0
hotpotqa,0.8,baseline_nosink,16,66.66666666666666,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,17,19.04761904761905,0.0,0.16153846153846155,0
hotpotqa,0.8,baseline_nosink,18,26.66666666666667,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,19,35.294117647058826,0.0,0.02564102564102564,0
hotpotqa,0.8,baseline_nosink,20,25.0,0.0,0.041666666666666664,0
hotpotqa,0.8,baseline_nosink,21,0.0,0.07142857142857142,0.23170731707317074,0
hotpotqa,0.8,baseline_nosink,22,23.52941176470588,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,23,16.666666666666668,0.0,0.2773722627737226,0
hotpotqa,0.8,baseline_nosink,24,0.0,0.0,0.02,0
hotpotqa,0.8,baseline_nosink,25,8.333333333333332,0.0,0.02666666666666667,0
hotpotqa,0.8,baseline_nosink,26,0.0,0.043478260869565216,0.275974025974026,0
hotpotqa,0.8,baseline_nosink,27,9.523809523809524,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,28,0.0,0.0,0.019230769230769232,0
hotpotqa,0.8,baseline_nosink,29,0.0,0.0,0.0,0
hotpotqa,0.8,plus_sink4,0,100.0,0.0,0.0,0
hotpotqa,0.8,plus_sink4,1,10.526315789473683,0.0,0.13725490196078433,0
hotpotqa,0.8,plus_sink4,2,0.0,0.0,0.0,0
hotpotqa,0.8,plus_sink4,3,12.5,0.0,0.043010752688172046,0
hotpotqa,0.8,plus_sink4,4,36.36363636363637,0.0,0.0,0
hotpotqa,0.8,plus_sink4,5,40.0,0.0,0.0,0
hotpotqa,0.8,plus_sink4,6,8.51063829787234,0.11363636363636363,0.5370370370370371,0
hotpotqa,0.8,plus_sink4,7,46.15384615384615,0.0,0.030303030303030304,0
hotpotqa,0.8,plus_sink4,8,43.47826086956522,0.0,0.0,0
hotpotqa,0.8,plus_sink4,9,44.44444444444445,0.0,0.0,0
hotpotqa,0.8,plus_sink4,10,25.0,0.0,0.17857142857142858,0
hotpotqa,0.8,plus_sink4,11,0.0,0.0,0.21568627450980393,0
hotpotqa,0.8,plus_sink4,12,14.814814814814813,0.0,0.0,0
hotpotqa,0.8,plus_sink4,13,37.03703703703704,0.0,0.0,0
hotpotqa,0.8,plus_sink4,14,25.0,0.0,0.0,0
hotpotqa,0.8,plus_sink4,15,7.6923076923076925,0.0,0.014184397163120567,0
hotpotqa,0.8,plus_sink4,16,66.66666666666666,0.0,0.0,0
hotpotqa,0.8,plus_sink4,17,10.526315789473683,0.175,0.5394736842105263,0
hotpotqa,0.8,plus_sink4,18,0.0,0.0,0.017543859649122806,0
hotpotqa,0.8,plus_sink4,19,35.294117647058826,0.0,0.02564102564102564,0
hotpotqa,0.8,plus_sink4,20,25.0,0.0,0.041666666666666664,0
hotpotqa,0.8,plus_sink4,21,0.0,0.0,0.0,0
hotpotqa,0.8,plus_sink4,22,23.52941176470588,0.0,0.0,0
hotpotqa,0.8,plus_sink4,23,0.0,0.0,0.2564102564102564,0
hotpotqa,0.8,plus_sink4,24,0.0,0.0,0.03389830508474576,0
hotpotqa,0.8,plus_sink4,25,9.09090909090909,0.0,0.027972027972027972,0
hotpotqa,0.8,plus_sink4,26,0.0,0.0,0.21145374449339208,0
hotpotqa,0.8,plus_sink4,27,11.11111111111111,0.0,0.0,0
hotpotqa,0.8,plus_sink4,28,0.0,0.0,0.019230769230769232,0
hotpotqa,0.8,plus_sink4,29,0.0,0.0,0.017699115044247787,0
