task,method,variant,sample_idx,score,word_rep,char_rep,collapsed
qmsum,adakv,plus_sink4,9,6.41025641025641,0.04054054054054054,0.39125910509885536,0
qmsum,adakv,plus_sink4,10,9.137055837563453,0.0,0.3457350272232305,0
qmsum,adakv,plus_sink4,11,8.383233532934133,0.0,0.2176360225140713,0
qmsum,adakv,plus_sink4,12,9.95850622406639,0.018072289156626505,0.40106951871657753,0
qmsum,adakv,plus_sink4,13,8.484848484848486,0.0,0.31241997439180536,0
qmsum,adakv,plus_sink4,14,15.92039800995025,0.0,0.30434782608695654,0
qmsum,adakv,plus_sink4,15,19.28934010152284,0.013422818791946308,0.2921940928270042,0
qmsum,adakv,plus_sink4,16,11.042944785276074,0.04054054054054054,0.39125910509885536,0
qmsum,adakv,plus_sink4,17,13.145539906103288,0.0,0.3457350272232305,0
qmsum,adakv,plus_sink4,18,8.092485549132949,0.0,0.3283898305084746,0
qmsum,adakv,plus_sink4,19,13.930348258706468,0.0,0.2176360225140713,0
qmsum,adakv,plus_sink4,20,11.299435028248588,0.006896551724137931,0.30784708249496984,0
qmsum,adakv,plus_sink4,21,8.391608391608392,0.009900990099009901,0.3565459610027855,0
qmsum,adakv,plus_sink4,22,3.6809815950920246,0.0,0.3903107861060329,0
qmsum,adakv,plus_sink4,23,6.666666666666667,0.006578947368421052,0.34452975047984646,0
qmsum,adakv,plus_sink4,24,13.88888888888889,0.013605442176870748,0.3237051792828685,0
qmsum,adakv,plus_sink4,25,6.711409395973156,0.02127659574468085,0.2709205020920502,0
qmsum,adakv,plus_sink4,26,11.607142857142856,0.006896551724137931,0.30784708249496984,0
qmsum,adakv,plus_sink4,27,9.375000000000002,0.10240963855421686,0.46369796708615685,0
qmsum,adakv,plus_sink4,28,8.91089108910891,0.025,0.34995296331138287,0
qmsum,adakv,plus_sink4,29,20.465116279069765,0.04054054054054054,0.39125910509885536,0
gov_report,ours,baseline_nosink,0,15.384615384615385,0.0070921985815602835,0.29901423877327493,0
gov_report,ours,baseline_nosink,1,13.2334581772784,0.0718954248366013,0.5462962962962963,0
gov_report,ours,baseline_nosink,2,13.095238095238093,0.007042253521126761,0.2639198218262806,0
gov_report,ours,baseline_nosink,3,12.79707495429616,0.12903225806451613,0.5836065573770491,0
gov_report,ours,baseline_nosink,4,12.871287128712872,0.00641025641025641,0.3648528099910794,0
gov_report,ours,baseline_nosink,5,12.487804878048783,0.0,0.2834170854271357,0
gov_report,ours,baseline_nosink,6,15.151515151515152,0.014492753623188406,0.4986149584487535,0
gov_report,ours,baseline_nosink,7,11.97411003236246,0.5414364640883977,0.8780487804878049,1
gov_report,ours,baseline_nosink,8,11.435523114355233,0.0,0.28225806451612906,0
gov_report,ours,baseline_nosink,9,12.669683257918551,0.006535947712418301,0.3011049723756906,0
gov_report,ours,baseline_nosink,10,13.72549019607843,0.0,0.48808290155440415,0
gov_report,ours,baseline_nosink,11,17.1875,0.0078125,0.4126794258373206,0
gov_report,ours,baseline_nosink,12,14.697406340057634,0.0,0.2858837485172005,0
gov_report,ours,baseline_nosink,13,11.912225705329153,0.007194244604316547,0.3308890925756187,0
gov_report,ours,baseline_nosink,14,15.526802218114605,0.0,0.3465665236051502,0
gov_report,ours,baseline_nosink,15,24.404761904761905,0.0,0.2635416666666667,0
gov_report,ours,baseline_nosink,16,12.895069532237674,0.013245033112582781,0.2857142857142857,0
gov_report,ours,baseline_nosink,17,12.61744966442953,0.013513513513513514,0.3103448275862069,0
gov_report,ours,baseline_nosink,18,18.867924528301888,0.030612244897959183,0.4492753623188406,0
gov_report,ours,baseline_nosink,19,18.32358674463937,0.0136986301369863,0.3067484662576687,0
gov_report,ours,baseline_nosink,20,15.458937198067632,0.04827586206896552,0.4646840148698885,0
gov_report,ours,baseline_nosink,21,15.523932729624837,0.006493506493506494,0.3546971027216857,0
gov_report,ours,baseline_nosink,22,14.50617283950617,0.03125,0.3943820224719101,0
gov_report,ours,baseline_nosink,23,17.35159817351598,0.026490066225165563,0.36679174484052535,0
gov_report,ours,baseline_nosink,24,14.69387755102041,0.006535947712418301,0.34282807731434384,0
gov_report,ours,baseline_nosink,25,18.827708703374775,0.04081632653061224,0.39233038348082594,0
gov_report,ours,baseline_nosink,26,13.313161875945537,0.03048780487804878,0.5239410681399632,0
gov_report,ours,baseline_nosink,27,14.509246088193455,0.096,0.5042527339003645,0
gov_report,ours,baseline_nosink,28,12.287581699346404,0.0,0.30545774647887325,0
gov_report,ours,baseline_nosink,29,22.300884955752213,0.013071895424836602,0.3789778206364513,0
gov_report,ours,plus_sink4,0,15.118110236220472,0.0,0.3295985060690943,0
