task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
gov_report,0.8,streaming,39,14.232209737827715,0.0,0,,9.298627841046775
gov_report,0.8,streaming,40,11.011904761904761,0.0,0,,21.14918699190869
gov_report,0.8,streaming,41,14.76510067114094,0.0,0,,17.231139335033827
gov_report,0.8,streaming,42,13.243243243243244,0.013157894736842105,0,43,16.73655178017772
gov_report,0.8,streaming,43,14.983713355048861,0.0,0,,22.628302438707095
gov_report,0.8,streaming,44,13.309982486865149,0.014388489208633094,0,65,16.431194302989827
gov_report,0.8,streaming,45,18.64139020537125,0.015151515151515152,0,32,22.628302438707095
gov_report,0.8,streaming,46,13.540197461212975,0.01282051282051282,0,24,14.423598287024177
gov_report,0.8,streaming,47,15.66265060240964,0.016666666666666666,0,15,11.50792728039921
gov_report,0.8,streaming,48,15.146299483648882,0.0,0,,16.772601313453517
gov_report,0.8,streaming,49,14.75128644939966,0.0,0,,14.573407171567066
gov_report,0.8,h2o,0,11.042944785276074,0.8228571428571428,1,8,0.40433439122071735
gov_report,0.8,h2o,1,17.68368617683686,0.06918238993710692,0,8,0.41058958029541015
gov_report,0.8,h2o,2,19.04761904761905,0.4645161290322581,1,9,0.41340637968301397
gov_report,0.8,h2o,3,12.406015037593985,0.05660377358490566,0,25,0.40768135938962363
gov_report,0.8,h2o,4,10.880829015544041,0.13043478260869565,0,10,0.3997643187392948
gov_report,0.8,h2o,5,12.536728697355533,0.06716417910447761,0,41,0.40483119029785053
gov_report,0.8,h2o,6,12.816691505216097,0.02,0,15,0.39602049516877114
gov_report,0.8,h2o,7,21.31979695431472,0.24324324324324326,0,29,0.40878384532635903
gov_report,0.8,h2o,8,13.3492252681764,0.022727272727272728,0,35,0.4032582209722253
gov_report,0.8,h2o,9,15.030674846625766,0.7465753424657534,1,8,0.4102491849977983
gov_report,0.8,h2o,10,14.469453376205788,0.04225352112676056,0,72,0.40559581493238506
gov_report,0.8,h2o,11,21.05263157894737,0.01282051282051282,0,72,0.4088983691394002
gov_report,0.8,h2o,12,14.207650273224044,0.03773584905660377,0,70,0.3996828825735629
gov_report,0.8,h2o,13,14.756671899529042,0.020689655172413793,0,28,0.40054143020660216
gov_report,0.8,h2o,14,15.636363636363635,0.047619047619047616,0,61,0.4156508357816501
gov_report,0.8,h2o,15,24.929178470254957,0.5748502994011976,1,17,0.38812370750164304
gov_report,0.8,h2o,16,13.144329896907218,0.0410958904109589,0,9,0.4013201136241882
gov_report,0.8,h2o,17,17.333333333333336,0.0064516129032258064,0,59,0.41240627640592425
gov_report,0.8,h2o,18,19.813084112149532,0.02608695652173913,0,53,0.4066666170651386
gov_report,0.8,h2o,19,20.948616600790515,0.11188811188811189,0,22,0.3978285215760097
gov_report,0.8,h2o,20,10.223642172523963,0.8547486033519553,1,4,0.4076318600296485
gov_report,0.8,h2o,21,10.796221322537113,0.024390243902439025,0,13,0.4079225317185874
gov_report,0.8,h2o,22,7.738095238095238,0.47368421052631576,1,72,0.40264969959077507
gov_report,0.8,h2o,23,22.35649546827794,0.3625,1,1,0.41011826843579374
gov_report,0.8,h2o,24,15.510204081632653,0.033112582781456956,0,28,0.3920213816600472
gov_report,0.8,h2o,25,19.52054794520548,0.5574712643678161,1,12,0.41247449032876227
gov_report,0.8,h2o,26,14.803625377643506,0.03773584905660377,0,52,0.4042534319868615
gov_report,0.8,h2o,27,12.027972027972028,0.6111111111111112,1,9,0.40067263913220996
gov_report,0.8,h2o,28,15.059445178335535,0.034482758620689655,0,45,0.40501259106154797
gov_report,0.8,h2o,29,12.589928057553957,0.02158273381294964,0,45,0.41383977865770694
gov_report,0.8,h2o,30,10.296010296010296,0.03592814371257485,0,57,0.406764893145039
gov_report,0.8,h2o,31,10.498687664041995,0.017391304347826087,0,6,0.4104460285899743
gov_report,0.8,h2o,32,11.092436974789916,0.37719298245614036,1,66,0.3970079936073269
