task,budget,method,sample_idx,score,rep_ratio,collapsed,onset,dispersion_cv,max_gap,recent500_coverage
gov_report,0.2,h2o,24,0.0,0.9393939393939394,1,2,0.9197034710711315,54.0,111
gov_report,0.2,h2o,25,15.714285714285714,0.851063829787234,1,11,0.9135363183229279,35.0,95
gov_report,0.2,h2o,26,6.0882800608828,0.7349397590361446,1,15,0.9218823652397786,60.0,114
gov_report,0.2,h2o,27,6.8181818181818175,0.8775510204081632,1,0,1.0137150281756653,52.0,114
gov_report,0.2,h2o,28,4.354136429608127,0.0,0,,0.8694379534643232,36.0,107
gov_report,0.2,h2o,29,6.797853309481215,0.949438202247191,1,0,0.8551041855664534,36.0,118
gov_report,0.2,h2o,30,4.6814044213263974,0.8932584269662921,1,0,0.952103107946855,51.0,145
gov_report,0.2,h2o,31,0.5494505494505495,0.23333333333333334,0,4,0.8077558198330818,28.0,111
gov_report,0.2,h2o,32,9.025270758122742,0.7459016393442623,1,21,0.8585414110711781,37.0,82
gov_report,0.2,h2o,33,11.349306431273645,0.7964071856287425,1,17,0.8793041865475213,37.0,108
gov_report,0.2,h2o,34,18.335684062059237,0.9005524861878453,1,3,0.8994493212200029,36.0,97
gov_report,0.2,h2o,35,0.7155635062611808,0.9393939393939394,1,3,0.8943386959857478,35.0,107
gov_report,0.2,h2o,36,17.31843575418994,0.8654970760233918,1,8,0.9085490525471818,41.0,120
gov_report,0.2,h2o,37,17.16937354988399,0.6956521739130435,1,11,0.8928746751585092,34.0,112
gov_report,0.2,h2o,38,1.824817518248175,0.0,0,,0.9080762727613035,45.0,120
gov_report,0.2,h2o,39,5.577689243027889,0.9259259259259259,1,3,0.9122259221536297,37.0,93
gov_report,0.2,h2o,40,7.443365695792881,0.8876404494382022,1,5,0.9225172708915337,49.0,116
gov_report,0.2,h2o,41,10.191082802547772,0.7419354838709677,1,33,0.9242111133667508,47.0,96
gov_report,0.2,h2o,42,13.165266106442578,0.4,1,12,0.8542614049673899,36.0,110
gov_report,0.2,h2o,43,1.384083044982699,0.8951048951048951,1,5,0.9757598485244527,37.0,80
gov_report,0.2,h2o,44,16.29881154499151,0.8137931034482758,1,0,0.9020488974360955,42.0,127
gov_report,0.2,h2o,45,0.0,0.0,0,,0.937716289383318,50.0,94
gov_report,0.2,h2o,46,10.574018126888216,0.72,1,17,0.8250496769329146,29.0,118
gov_report,0.2,h2o,47,6.260296540362438,0.7878787878787878,1,8,0.849971636219822,23.0,98
gov_report,0.2,h2o,48,6.049149338374291,0.75,1,3,0.8973632986663198,42.0,122
gov_report,0.2,h2o,49,18.612521150592215,0.8242424242424242,1,1,0.8860378207928518,41.0,112
gov_report,0.2,snapkv,0,1.2024048096192386,0.0,0,,1.5266192618243457,63.0,118
gov_report,0.2,snapkv,1,7.017543859649124,0.058823529411764705,0,15,1.5967777135557286,82.0,121
gov_report,0.2,snapkv,2,0.0,0.0,0,,1.5835258131565,62.0,145
gov_report,0.2,snapkv,3,2.112676056338028,0.9696969696969697,1,0,1.4905453707346465,69.0,152
gov_report,0.2,snapkv,4,0.0,0.0,0,,1.5620232498527793,76.0,104
gov_report,0.2,snapkv,5,0.0,0.0,0,,1.5910302381640562,85.0,130
gov_report,0.2,snapkv,6,0.7504690431519699,0.0,0,,1.650904204232559,113.0,169
gov_report,0.2,snapkv,7,6.484641638225256,0.9545454545454546,1,0,1.7242229990525146,78.0,106
gov_report,0.2,snapkv,8,1.7341040462427748,0.42857142857142855,1,0,1.6748965182326836,92.0,133
gov_report,0.2,snapkv,9,0.0,0.0,0,,1.5256282766565634,81.0,148
