task,budget,method,sample_idx,score,word_rep,char_rep,collapsed_old,collapsed_new,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.8,pyramidkv,7,2.4844720496894412,0.875,0.9655172413793104,1,1,7,0.43658662456946584,5.0,422
qmsum,0.8,pyramidkv,8,3.703703703703704,0.8448275862068966,0.9457221711131555,1,1,12,0.3712137483653938,4.0,405
qmsum,0.8,pyramidkv,9,6.024096385542169,0.27741935483870966,0.7033985581874357,0,1,15,0.3970585219273482,5.0,408
qmsum,0.8,pyramidkv,10,1.01010101010101,0.8611111111111112,0.9250814332247557,1,1,15,0.3728267998837571,4.0,424
qmsum,0.8,pyramidkv,11,1.2048192771084338,0.875,0.9655172413793104,1,1,7,0.43658662456946584,5.0,422
qmsum,0.8,pyramidkv,12,5.2631578947368425,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,411
qmsum,0.8,pyramidkv,13,7.291666666666667,0.7530864197530864,1.0,1,1,21,0.42063458682958654,8.0,405
qmsum,0.8,pyramidkv,14,19.35483870967742,0.23668639053254437,0.7651821862348178,0,1,0,0.4222557438363302,7.0,416
qmsum,0.8,pyramidkv,15,15.261044176706825,0.5483870967741935,0.7656108597285067,1,1,44,0.40927513117298964,6.0,407
qmsum,0.8,pyramidkv,16,13.872832369942198,0.27741935483870966,0.7033985581874357,0,1,15,0.3970585219273482,5.0,408
qmsum,0.8,pyramidkv,17,1.8691588785046724,0.8611111111111112,0.9250814332247557,1,1,15,0.3728267998837571,4.0,424
qmsum,0.8,pyramidkv,18,4.347826086956522,0.9444444444444444,1.0,1,1,0,0.41452775931827596,7.0,404
qmsum,0.8,pyramidkv,19,3.0000000000000004,0.875,0.9655172413793104,1,1,7,0.43658662456946584,5.0,422
qmsum,0.8,pyramidkv,20,3.2608695652173907,0.8098159509202454,0.8931068931068931,1,1,22,0.3983753423635908,6.0,404
qmsum,0.8,pyramidkv,21,2.1621621621621623,0.9117647058823529,0.9924487594390508,1,1,3,0.42226293881863525,5.0,419
qmsum,0.8,pyramidkv,22,1.197604790419162,0.7440476190476191,0.8664085188770572,1,1,29,0.3810522157444663,5.0,417
qmsum,0.8,pyramidkv,23,4.25531914893617,0.8975903614457831,1.0,1,1,6,0.4058626359425205,5.0,397
